show_title,genre
kpop demon hunters,Action
kpop demon hunters,Adventure
kpop demon hunters,Animation
squid game,Action
squid game,Crime
squid game,Drama
bridgerton,Drama
bridgerton,Romance
stranger things,Drama
stranger things,Fantasy
stranger things,Horror
wednesday,Comedy
wednesday,Crime
wednesday,Fantasy
carry-on,Action
carry-on,Crime
carry-on,Thriller
adolescence,Crime
adolescence,Drama
adolescence,Thriller
back in action,Action
back in action,Comedy
leave the world behind,Drama
leave the world behind,Mystery
leave the world behind,Thriller
damsel,Action
damsel,Adventure
damsel,Fantasy
emily in paris,Comedy
emily in paris,Drama
emily in paris,Romance
happy gilmore 2,Comedy
happy gilmore 2,Sport
rebel ridge,Action
rebel ridge,Crime
rebel ridge,Drama
lift,Action
lift,Comedy
lift,Crime
heart of stone,Action
heart of stone,Crime
heart of stone,Thriller
under paris,Action
under paris,Horror
under paris,Sci-Fi
fool me once,Crime
fool me once,Drama
fool me once,Mystery
war machine,Action
war machine,Sci-Fi
war machine,Thriller
his & hers,Crime
his & hers,Drama
his & hers,Mystery
frankenstein,Drama
frankenstein,Fantasy
frankenstein,Horror
one piece,Action
one piece,Adventure
one piece,Animation
rebel moon — part one: a child of fire,Action
rebel moon — part one: a child of fire,Adventure
rebel moon — part one: a child of fire,Drama
exterritorial,Action
exterritorial,Mystery
exterritorial,Thriller
baby reindeer,Biography
baby reindeer,Comedy
baby reindeer,Drama
the lincoln lawyer,Crime
the lincoln lawyer,Drama
the lincoln lawyer,Mystery
the life list,Comedy
the life list,Drama
the life list,Romance
the great flood,Action
the great flood,Adventure
the great flood,Drama
the night agent,Action
the night agent,Drama
the night agent,Thriller
society of the snow,Adventure
society of the snow,Biography
society of the snow,Drama
untamed,Crime
untamed,Drama
untamed,Mystery
havoc,Action
havoc,Crime
havoc,Drama
a family affair,Comedy
a family affair,Drama
a family affair,Romance
beverly hills cop: axel f,Action
beverly hills cop: axel f,Comedy
beverly hills cop: axel f,Crime
the witcher,Action
the witcher,Adventure
the witcher,Drama
nowhere,Action
nowhere,Crime
nowhere,Drama
our little secret,Comedy
our little secret,Romance
my oxford year,Comedy
my oxford year,Drama
my oxford year,Romance
my life with the walter boys,Drama
