show_title,rating,image,trailer,description,cast_members
kpop demon hunters,7.4,https://m.media-amazon.com/images/M/MV5BNTBiYWJlMjQtOTIyMy00NTY4LWFhOWItOWZhNzc3NGMyMjc2XkEyXkFqcGc@.jpg,https://www.youtube.com/watch?v=AzCAwdp1uIQ,A world-renowned K-Pop girl group balance their lives in the spotlight with their secret identities as demon hunters.,"Arden Cho, May Hong, Ji-young Yoo"
squid game,7.9,https://m.media-amazon.com/images/M/MV5BYTU3ZDVhNmMtMDVlNC00MDc0LTgwNDMtYWE5MTI2ZGI4YWIwXkEyXkFqcGc@.jpg,https://www.youtube.com/watch?v=oqxAJKy0ii4,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. A tempting prize awaits, but with deadly high stakes.","Lee Jung-jae, Park Hae-soo, Nandito Hidayattullah Putra, Yasushi Iwaki, Wi Ha-joon"
bridgerton,7.5,https://m.media-amazon.com/images/M/MV5BNmY4MDAyNjgtZTBkYi00MTY5LWIwOTctZjY1MGQ0MDM5NTU3XkEyXkFqcGc@.jpg,https://www.youtube.com/watch?v=gpv7ayf_tyE,The eight close-knit siblings of the Bridgerton family look for love and happiness in London high society.,"Nicola Coughlan, Luke Thompson, Ruth Gemmell, Florence Hunt, Claudia Jessie"
stranger things,8.6,https://m.media-amazon.com/images/M/MV5BNjRiMTA4NWUtNmE0ZC00NGM0LWJhMDUtZWIzMDM5ZDIzNTg3XkEyXkFqcGc@.jpg,https://www.youtube.com/watch?v=b9EkMc79ZSU,"In 1980s Indiana, a group of young friends witness supernatural forces and secret government exploits. As they search for answers, the children unravel a series of extraordinary mysteries.","Millie Bobby Brown, Finn Wolfhard, Winona Ryder, David Harbour, Gaten Matarazzo"
wednesday,8.0,https://m.media-amazon.com/images/M/MV5BMDE1NjNmZjgtZTg0OC00NjkxLWEzYzItMDNkMTc3YjgxZWQyXkEyXkFqcGc@.jpg,https://www.youtube.com/watch?v=Qa5kFRxBkNw,"Follows Wednesday Addams' years as a student, when she attempts to master her emerging psychic ability, thwart a killing spree, and solve the mystery that embroiled her parents.","Jenna Ortega, Hunter Doohan, Emma Myers, Joy Sunday, Georgie Farmer"
carry-on,6.5,https://m.media-amazon.com/images/M/MV5BNTNkMjQzNmQtNzE4ZC00NDlmLTkyYjAtZDZkYTQ5NjBmYThlXkEyXkFqcGc@.jpg,https://www.youtube.com/watch?v=KS0XacjMmOc,A mysterious traveler blackmails a young TSA agent into letting a dangerous package slip through security and onto a Christmas Eve flight.,"Taron Egerton, Jason Bateman, Sofia Carson, Danielle Deadwyler, Tonatiuh"
adolescence,8.1,https://m.media-amazon.com/images/M/MV5BNGY1YjBiNzMtYWZhNC00OWViLWE0MzItNjc4YzczOGNiM2I0XkEyXkFqcGc@.jpg,https://www.youtube.com/watch?v=Wk5OxqtpBR4,"When a 13-year-old is accused of the murder of a classmate, his family, therapist and the detective in charge are all left asking what really happened.","Owen Cooper, Stephen Graham, Faye Marsay, Ashley Walters, Christine Tremarco"
back in action,5.9,https://m.media-amazon.com/images/M/MV5BMWQ4YWYxYTAtZTlhNC00Nzc3LWE3OWUtZjY5MThlNWNiYTBiXkEyXkFqcGc@.jpg,https://www.youtube.com/watch?v=MV2nYw6gL_w,Former CIA spies Emily and Matt are pulled back into espionage after their secret identities are exposed.,"Kyle Chandler, Andrew Scott, Glenn Close, Cameron Diaz, Jamie Foxx"
leave the world behind,6.4,https://m.media-amazon.com/images/M/MV5BZjI0YzhjZjAtMzg3ZS00NTFhLWFkYjctMjE5ZGExNTk1MmJkXkEyXkFqcGc@.jpg,https://www.youtube.com/watch?v=cMVBi_e8o-Y,"A family's getaway to a luxurious rental home takes an ominous turn when a cyberattack knocks out their devices, and two strangers appear at their door.","Julia Roberts, Mahershala Ali, Ethan Hawke, Myha'la, Farrah Mackenzie"
damsel,6.1,https://m.media-amazon.com/images/M/MV5BZTAzODc1ZjUtNGQwZS00YTc2LTliNzQtMDdlNzllNmU5Yzk4XkEyXkFqcGc@.jpg,https://www.youtube.com/watch?v=iM150ZWovZM,"A dutiful damsel agrees to marry a handsome prince, only to find the royal family has recruited her as a sacrifice to repay an ancient debt.","Millie Bobby Brown, Ray Winstone, Angela Bassett, Brooke Carter, Nick Robinson"
emily in paris,6.8,https://m.media-amazon.com/images/M/MV5BMWNiNmUyNDgtY2E2MC00ZDc2LTlkZWMtNWI0MjQxMjUxY2QwXkEyXkFqcGc@.jpg,https://www.youtube.com/watch?v=lptctjAT-Mk,A young American woman from the Midwest is hired by a marketing firm in Paris to provide them with an American perspective on things.,"Lily Collins, Philippine Leroy-Beaulieu, Ashley Park, Lucas Bravo, Samuel Arnold"
happy gilmore 2,6.1,https://m.media-amazon.com/images/M/MV5BYTQyNTRmYjItMDBjYi00YWNhLWEwMmQtNzJhODNiNjEzOWJlXkEyXkFqcGc@.jpg,https://www.youtube.com/watch?v=alBuSbDUSig,"To provide for his family, a retired Happy Gilmore must pick up the golf clubs once more and reconnect with the sport he once dominated.","Margaret Qualley, Adam Sandler, Travis Kelce, Julie Bowen, Christopher McDonald"
rebel ridge,6.8,https://m.media-amazon.com/images/M/MV5BYTE4ZDE5ZTktZWZkMC00MGY4LWFkZDUtZTc5YWU3NzM2YmM3XkEyXkFqcGc@.jpg,https://www.youtube.com/watch?v=gF3gZicntIw,A former Marine grapples his way through a web of small-town corruption when an attempt to post bail for his cousin escalates into a violent standoff with the local police chief.,"Aaron Pierre, Don Johnson, AnnaSophia Robb, David Denman, Emory Cohen"
