week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,runtime,weekly_views,cumulative_weeks_in_top_10,year_week,year,month,month_name
2026-04-26,Movie,1,apex,,60500000,1.5833,38200000.0,1,2026-W17,2026,4,April
2026-04-26,Movie,2,180,,27700000,1.5833,17500000.0,2,2026-W17,2026,4,April
2026-04-26,Movie,3,roommates,,21500000,1.7833,12100000.0,2,2026-W17,2026,4,April
2026-04-26,Movie,4,thrash,,13800000,1.4333,9600000.0,3,2026-W17,2026,4,April
2026-04-26,Movie,5,untold: the shooting at hawthorne hill,,5600000,1.2333,4500000.0,1,2026-W17,2026,4,April
2026-04-26,Movie,6,kpop demon hunters,,7000000,1.6667,4200000.0,45,2026-W17,2026,4,April
2026-04-26,Movie,7,war machine,,5800000,1.8167,3200000.0,8,2026-W17,2026,4,April
2026-04-26,Movie,8,trust,,4700000,1.5,3100000.0,1,2026-W17,2026,4,April
2026-04-26,Movie,9,the interpreter,,6200000,2.1333,2900000.0,1,2026-W17,2026,4,April
2026-04-26,Movie,10,shooter,,4500000,2.0833,2200000.0,6,2026-W17,2026,4,April
2026-04-26,Movie,1,love at last,,3900000,1.5167,2600000.0,1,2026-W17,2026,4,April
2026-04-26,Movie,2,do deewane seher mein,,5700000,2.25,2500000.0,2,2026-W17,2026,4,April
2026-04-26,Movie,3,toaster,,4800000,2.1,2300000.0,2,2026-W17,2026,4,April
2026-04-26,Movie,4,youth,,5300000,2.3333,2300000.0,2,2026-W17,2026,4,April
2026-04-26,Movie,5,ustaad bhagat singh,,4700000,2.5167,1900000.0,2,2026-W17,2026,4,April
2026-04-26,Movie,6,on your lap,,2200000,1.7333,1300000.0,1,2026-W17,2026,4,April
2026-04-26,Movie,7,yiya murano: death at tea time,,2200000,1.7333,1300000.0,1,2026-W17,2026,4,April
2026-04-26,Movie,8,feel my voice,,2200000,1.7667,1200000.0,3,2026-W17,2026,4,April
2026-04-26,Movie,9,humint,,2400000,1.9833,1200000.0,4,2026-W17,2026,4,April
2026-04-26,Movie,10,untouchables,,2900000,2.4667,1200000.0,1,2026-W17,2026,4,April
2026-04-26,Serie,1,unchosen,Unchosen: Season 1,46900000,4.5,10400000.0,1,2026-W17,2026,4,April
2026-04-26,Serie,2,running point,Running Point: Season 2,25200000,4.7833,5300000.0,1,2026-W17,2026,4,April
